DAY,LAW_CODE_NUMERIC,DF_LCC,DF_AB
10,1552500,2,3
11,1601001,3,4
19,1201401,2,1
20,2200300,2,2
11,1553001,3,2
12,1402502,3,2
13,0,1,1
17,2155700,3,4
27,1201500,2,4
4,2602002,2,3
19,1950500,2,2
17,1200001,2,2
28,215510,3,2
8,1655200,3,3
23,1211200,3,5
4,215510,3,2
1,1200001,2,4
5,1651503,2,2
12,1552500,2,1
20,1200001,2,2
9,1211200,3,5
24,9000049,0,2
28,1200001,2,2
26,2200300,2,1
16,1211200,3,1
19,215510,3,1
2,140100,2,5
25,240301,2,1
3,1450502,3,3
28,2200300,2,1
4,215510,3,1
26,1552500,2,1
13,1200001,2,3
17,170703,3,2
30,1552500,2,4
23,140100,2,3
23,1200001,2,3
4,1654000,2,4
6,1402000,3,2
1,2053000,2,3
6,2650101,2,3
12,1450001,2,5
3,160102,3,1
7,1200502,3,2
20,1252501,3,2
13,215510,3,4
10,1200502,3,1
22,1211100,2,1
14,2403001,2,1
29,1200502,3,1
25,1211100,2,5
6,1552500,2,3
11,1211200,3,4
7,2601002,2,1
29,1552500,2,3
20,1402000,3,1
14,1450502,3,3
18,1202500,3,4
5,1200001,2,4
6,1200502,3,2
19,1651503,2,2
3,2200300,2,2
12,1200001,2,2
17,1654501,3,1
22,1201002,3,1
23,1200501,3,3
5,119203,2,4
2,1200001,2,1
3,1200002,2,3
24,1950500,2,3
26,1650600,3,2
20,51101,2,1
1,1450001,2,3
24,1200001,2,4
20,1651503,2,2
3,1211200,3,3
15,1553004,3,3
15,1654505,3,2
26,2403001,2,1
19,1552500,2,4
9,265031,3,4
2,2200300,2,3
25,2200300,2,1
23,1200501,3,1
25,1651502,2,3
7,1200001,2,5
24,1200001,2,4
20,1553008,3,4
15,2650101,2,2
24,215510,3,1
11,1601001,3,3
13,1202500,3,2
3,76801,2,2
10,130801,3,3
20,1552500,2,1
17,1200501,3,1
8,2052001,2,2
19,1402000,3,1
9,1402000,3,1
11,1450502,3,5
18,51103,3,5
29,140100,2,4
22,1200503,3,4
14,2650101,2,2
13,5110,2,4
10,1554001,3,4
2,1552500,2,3
1,1552500,2,4
13,1200001,2,4
19,2201601,3,2
5,2650101,2,2
10,1201401,2,4
17,1200001,2,1
18,2154002,3,4
4,1553008,3,2
3,1702000,2,3
26,1655200,3,4
19,1552500,2,3
24,1200502,3,4
16,1200001,2,1
12,1654501,3,1
19,2155002,2,3
27,2200602,3,3
25,1201401,2,1
14,1651503,2,1
24,1553008,3,3
28,1552500,2,1
10,1601001,3,3
14,5110,3,3
3,1450001,2,4
13,160102,3,1
11,1552500,2,4
6,1552500,2,4
9,5110,2,4
5,2650101,2,1
13,1201401,2,2
9,2202101,3,2
17,1553008,3,4
21,1200001,2,4
23,1552500,2,2
22,1200501,3,4
30,511001,2,1
3,1211100,2,1
11,1552500,2,2
13,1552500,2,3
23,1553001,3,3
26,1601001,3,4
2,215510,3,1
12,1702000,2,4
13,265031,3,2
22,1552500,2,2
11,1200502,3,1
9,1600500,3,2
9,1553008,3,4
16,2601001,2,2
19,215510,3,1
3,1200001,2,1
17,1200503,3,2
9,2601001,2,3
9,1552500,2,1
28,2601001,2,1
30,1651503,2,2
11,1553001,3,1
1,1200501,3,4
10,1552500,2,1
28,1200502,3,2
12,1651503,2,2
30,1200001,2,2
29,1201401,2,2
19,1200001,2,1
3,1450001,2,2
26,1552500,2,5
20,2403200,3,3
12,1200001,2,1
4,1600500,3,2
25,511002,2,2
10,1211300,3,4
13,1552500,2,1
21,1654501,3,3
7,2403004,2,3
14,1200001,2,4
4,1703000,3,2
10,1450501,3,2
9,1252501,3,1
9,1200001,2,5
8,215510,3,1
19,1552500,2,3
20,5110,2,2
2,265031,3,4
17,2053000,2,1
18,1200001,2,4
18,1200001,2,3
8,2200601,3,4
11,265031,3,1
4,1702000,2,4
7,1200001,2,1
10,51101,2,1
27,265031,3,4
5,1202000,2,2
27,4902001,3,1
14,1200001,2,1
14,1201401,2,4
4,1201401,2,4
13,2601001,2,2
22,1600500,3,2
23,1456002,2,3
28,1450001,2,5
6,1552500,2,1
24,1200001,2,3
24,2155003,2,2
4,511001,2,4
16,1200001,2,1
10,9000049,0,1
27,215510,3,2
18,1654501,3,3
16,1553008,3,2
7,1553008,3,2
14,1450004,2,4
20,2201601,3,5
